Model Family,Model,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1
Random Forest,Tuned Random Forest,0.9481,0.9453,0.8296,0.9453,0.8798
MLP Neural Network,Tuned MLP Neural Network,0.9347,0.9453,0.7955,0.9453,0.8568
Logistic Regression,Class-Weighted Logistic Regression,0.8334,0.8989,0.6325,0.8989,0.7064
SVM,Class-Weighted Linear SVM,0.8928,0.8814,0.7092,0.8814,0.7731
