Model,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1
Baseline Linear SVM,0.9220753814719819,0.6409771472984754,0.9400120054134863,0.6409771472984754,0.7307476681798653
Class-Weighted Linear SVM,0.8928110826124128,0.8813948151783051,0.709207675180871,0.8813948151783051,0.7731184324069456
Tuned Linear SVM,0.8928110826124128,0.8813948151783051,0.709207675180871,0.8813948151783051,0.7731184324069456
