Hidden Layers,Alpha,Balanced Accuracy,Macro F1,Training Time,Iterations
"(64, 32)",0.0001,0.9424046614588019,0.8504843705991774,5.983901262283325,49
"(64, 32)",0.001,0.9416040258707263,0.850912351871789,5.937707901000977,49
"(128, 64)",0.0001,0.941361670929299,0.8546959780967988,7.214047908782959,37
"(128, 64)",0.001,0.9410916113292084,0.8557881286188462,6.7599170207977295,35
"(64,)",0.0001,0.9389384806643627,0.8409083127533323,7.4655921459198,80
"(128,)",0.001,0.93872931679611,0.8406491670409247,11.153877019882202,80
"(128,)",0.0001,0.9383686632225325,0.8468392353319683,10.79908299446106,80
"(64,)",0.001,0.9378389178460691,0.8393899181023814,7.2552878856658936,80
