Model,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1
Baseline MLP Neural Network,0.9655117448448753,0.8636942166291971,0.954728290276472,0.8636942166291971,0.9046788202462993
Balanced-Training MLP Neural Network,0.9338926806648408,0.9448638650559439,0.7957389943913326,0.9448638650559439,0.8566138987492122
Tuned MLP Neural Network,0.9346679418626556,0.9452562504073375,0.7955005339256737,0.9452562504073375,0.8567806179090193
