Model,Accuracy,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1
Baseline Logistic Regression,0.9526,0.8428,0.904,0.8428,0.8712
Class-Weighted Logistic Regression,0.8334,0.8989,0.6325,0.8989,0.7064
Tuned Logistic Regression,0.8334,0.8989,0.6325,0.8989,0.7064
